Region	Source	2MASS/SSTc2d	RA	Dec	EDR3_plx	EDR3_err_plx	EDR3_dist_pc	EDR3_RUWE	EDR3_Dist_PPVII	PM_EDR3_mas	Disk	Disk_Flag	Observatory	Freq_GHz	Wavelength	Beam_arcsec	RMS_mJy/beam	Survey_Ref	Flux_mJy	eFlux_mJy	Flux_mJy_Standardized	Mdust_Mearth_Standardized	Standardized_Mdust_Mearth	Size_as	eSize_as	H20_lR68	H20_R68_arcsec	H20_R68_au_DR3							Notes	Object	dist_xs	SpT_xs	Teff_xs	Av_xs	Lstar_xs	logLacc_xs	Mstar_B15_xs	logMacc_B15_xs	Mstar_S00_xs	logMacc_S00_xs	Notes_xs	ref_xs	Source_check	Teff_HH14	Lstar_xs_DR3	logLacc_xs_DR3	Mstar_B15_xs_DR3	logMacc_B15_xs_DR3	Mstar_S00_xs_DR3	logMacc_S00_xs_DR3	Mstar_Fei_xs_DR3	logMacc_Fei_xs_DR3	Mstar_PPVII	logMacc_PPVII	notes_Macc_PPVII	dist_PPVII
ChamI	J11070925-7718471	J11070925-7718471	11:07:09.252	-77:18:47.142	--	--	--	--	191	[, ]	II	1	[ALMA, ]	[340, ]	[0.882, ]	[1.1x0.7, ]	[0.2, ]	[Long+2018, ]	[0.65, ]	[0.17, ]	[0.65, ]	[0.24, ]	0.24	[, ]	[, ]	<	0.25	47.75						II		J11070925-7718471	--	--	--	--	--	--	--	--	--	--		--	J11070925-7718471	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
ChamI	J11071181-7625501	J11071181-7625501	11:07:11.819	-76:25:50.117	5.0023	0.0805	199.91	0.955	199.91	[-22.300, -0.220]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.03, ]	[0.16, ]	[<0.48, ]	[<0.20, ]	<0.20	[, ]	[, ]	--	--	#VALUE!						II		J11071181-7625501	199.48	M5.5	3060	0.8	0.016	-4.79	0.11	-11.58	0.11	-11.56	...,LOWACC,MAN,	Manara+16,17	J11071181-7625501	2920	0.016	-4.788	0.067	-11.32	nan	nan	0.09	-11.45	0.067	-11.32	<	199.91
ChamI	J11071206-7632232	J11071206-7632232	11:07:12.066	-76:32:23.233	5.1580	0.0130	193.87	1.326	193.87	[-21.839, -0.436]	II	1	[ALMA, ]	[340, ]	[0.882, ]	[1.1x0.7, ]	[0.2, ]	[Long+2018, ]	[6.57, ]	[0.25, ]	[6.57, ]	[2.52, ]	2.52	[, ]	[, ]	--	0.22	42.6514						II		J11071206-7632232	195.75	M0	3850	1.5	0.599	-1.3	0.54	-8.2	0.56	-8.21	...,	Manara+16,17	J11071206-7632232	3900	0.587	-1.308	0.583	-8.249	0.62	-8.275	0.56	-8.23	0.583	-8.249	--	193.87
ChamI	J11071330-7743498	J11071330-7743498	11:07:13.300	-77:43:49.879	5.2990	0.1033	188.71	2.004	191	[-25.031, -0.931]	II/T	1	[ALMA, ]	[340, ]	[0.882, ]	[1.1x0.7, ]	[0.2, ]	[Long+2018, ]	[2.23, ]	[0.16, ]	[2.23, ]	[0.83, ]	0.82	[, ]	[, ]	<	0.11	21.01						II/T		J11071330-7743498	173.47	M4	3270	2.6	0.082	-3.99	0.23	-10.81	0.22	-10.77	...,LOWACC,TD,	Manara+16,17	J11071330-7743498	3190	0.098	-3.91	0.195	-10.59	0.1975	-10.59	0.17	-10.54	0.195	-10.59	<	190
ChamI	J11071860-7732516	J11071860-7732516	11:07:18.608	-77:32:51.662	5.0627	0.2342	197.52	1.155	197.52	[-23.567, -0.797]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.93, ]	[0.16, ]	[0.93, ]	[0.38, ]	0.38	[, ]	[, ]	<	0.15	29.628						II		J11071860-7732516	198.58	M5.5	3060	4.8	0.039	-4	0.13	-10.67	0.11	-10.61	...,	Manara+16,17	J11071860-7732516	2920	0.038	-4.004	0.076	-10.4	0.1	-10.51	0.09	-10.47	0.076	-10.4	--	197.52
ChamI	J11072074-7738073	J11072074-7738073	11:07:20.744	-77:38:07.354	5.2913	0.0133	188.99	1.148	188.99	[-22.552, 1.214]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[26.36, ]	[1.46, ]	[26.36, ]	[9.75, ]	9.75	[0.29, ]	[, ]	<	0.09	17.0091						II		J11072074-7738073	190.62	K0	5110	1.5	7.239	-0.22	nan	nan	2.35	-7.45	...,	Manara+16,17	J11072074-7738073	4870	7.115	-0.227	nan	nan	2.3275	-7.42	1.59	-7.26	1.59	-7.26	--	188.99
ChamI	J11072825-7652118	J11072825-7652118	11:07:28.256	-76:52:11.899	5.0097	0.0728	199.61	1.943	191	[-23.846, 1.685]	II	1	[ALMA, ]	[340, ]	[0.882, ]	[1.1x0.7, ]	[0.2, ]	[Long+2018, ]	[2.20, ]	[0.16, ]	[2.20, ]	[0.82, ]	0.81	[, ]	[, ]	--	--	#VALUE!						II		J11072825-7652118	190	M3	3415	1.2	0.479	-1.57	0.29	-8.13  0.32	-8.18	...,		Manara+16,17	J11072825-7652118	3410	0.479	-1.57	0.285	-8.127	0.32	-8.177	0.29	-8.13	0.285	-8.127	--	190
ChamI	J11074245-7733593	J11074245-7733593	11:07:42.455	-77:33:59.393	--	--	--	--	191	[, ]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[2.37, ]	[0.41, ]	[2.37, ]	[0.90, ]	0.89	[0.34, ]	[, ]	--	--	#VALUE!						II		J11074245-7733593	190	M5.5	3060	2.4	0.056	-3.24	0.13	-9.84  0.12	-9.8	...,		Manara+16,17	J11074245-7733593	2920	0.056	-3.24	0.089	-9.625	0.1	-9.674	0.09	-9.63	0.089	-9.625	--	190
ChamI	J11074366-7739411	J11074366-7739411	11:07:43.665	-77:39:41.148	5.2566	0.0169	190.24	1.307	190.24	[-23.070, -0.360]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[107.27, ]	[0.56, ]	[107.27, ]	[40.22, ]	40.22	[0.26, ]	[, ]	--	0.17	32.3408						II		J11074366-7739411	194.81	M1	3705	2.8	0.445	-0.8	0.45	-7.65	0.47	-7.66	...,	Manara+16,17	J11074366-7739411	3720	0.424	-0.82	0.463	-7.691	0.4775	-7.704	0.46	-7.69	0.463	-7.691	--	190.24
ChamI	J11074656-7615174	J11074656-7615174	11:07:46.563	-76:15:17.467	5.1911	0.1522	192.64	1.053	192.64	[-22.099, 0.678]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[2.18, ]	[0.16, ]	[2.18, ]	[0.84, ]	0.84	[, ]	[, ]	<	0.09	17.3376						II		J11074656-7615174	194.22	M6.5	2935	0.5	0.01	-5.13	0.07	-11.76	nan	nan	...,LOWACC,MAN,	Manara+16,17	J11074656-7615174	2815	0.009	-5.137	0.045	-11.57	nan	nan	nan	nan	0.045	-11.57	<	192.64
ChamI	J11075730-7717262	J11075730-7717262	11:07:57.307	-77:17:26.228	5.2152	0.2062	191.75	1.128	191.75	[-22.207, 0.107]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[6.47, ]	[0.80, ]	[6.47, ]	[2.46, ]	2.46	[, ]	[, ]	<	0.15	28.7625						II		J11075730-7717262	--	--	--	--	--	--	--	--	--	--		--	J11075730-7717262	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
ChamI	J11075792-7738449	J11075792-7738449	11:07:57.928	-77:38:44.927	5.3821	0.1966	185.80	2.917	191	[-24.113, 2.588]	FS	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[19.85, ]	[1.48, ]	[19.85, ]	[7.50, ]	7.42	[0.33, ]	[, ]	--	--	#VALUE!						FS		J11075792-7738449	163.19	K5	4350	3.2	0.531	-1.01	1.01	-8.31	1.04	-8.32	...,	Manara+16,17	J11075792-7738449	4210	0.719	-0.877	0.888	-8.023	0.9549	-8.055	0.82	-7.99	0.82	-7.99	--	190
ChamI	J11075809-7742413	J11075809-7742413	11:07:58.092	-77:42:41.324	5.3329	0.0325	187.52	1.061	187.52	[-22.711, -0.508]	II	1	[ALMA, ]	[340, ]	[0.882, ]	[1.1x0.7, ]	[0.2, ]	[Long+2018, ]	[7.11, ]	[0.16, ]	[7.11, ]	[2.55, ]	2.55	[, ]	[, ]	<	0.08	15.0016						II		J11075809-7742413	184.46	M3	3415	3.8	0.213	-1.37	0.29	-8.11	0.31	-8.14	...,	Manara+16,17	J11075809-7742413	3410	0.22	-1.355	0.291	-8.092	0.3075	-8.115	0.31	-8.12	0.291	-8.092	--	187.52
ChamI	J11080002-7717304	J11080002-7717304	11:08:00.025	-77:17:30.484	4.6399	0.3058	215.52	2.638	191	[-18.015, -0.760]	II	1	[ALMA, ]	[340, ]	[0.882, ]	[1.1x0.7, ]	[0.2, ]	[Long+2018, ]	[-0.07, ]	[0.15, ]	[<0.45, ]	[<0.17, ]	<0.17	[, ]	[, ]	<	0.13	24.83						II		J11080002-7717304	190	K7	4060	8	1.371	-3.08	0.67	-9.93	0.75	-9.98	...,LOWACC,MAN,	Manara+16,17	J11080002-7717304	4020	1.371	-3.079	0.631	-9.897	0.715	-9.951	0.56	-9.85	0.56	-9.85	<	190
ChamI	J11080148-7742288	J11080148-7742288	11:08:01.486	-77:42:28.854	5.3147	0.2905	188.16	28.093	191	[-17.212, -0.112]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[44.37, ]	[0.82, ]	[44.37, ]	[16.77, ]	16.59	[, ]	[, ]	--	--	#VALUE!						II		J11080148-7742288	190	K7	4060	1.9	2.313	-0.63	nan	nan	0.75	-7.42	...,	Manara+16,17	J11080148-7742288	4020	2.312	-0.629	nan	nan	0.705	-7.381	nan	nan	0.705	-7.381	--	190
ChamI	J11080297-7738425	J11080297-7738425	11:08:02.975	-77:38:42.590	--	--	--	--	191	[, ]	FS	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[102.24, ]	[0.58, ]	[102.24, ]	[38.64, ]	38.23	[0.28, ]	[, ]	--	--	#VALUE!						FS		J11080297-7738425	190	M1	3705	3.4	0.169	-1.86	0.53	-8.98  0.45	-8.91	...,		Manara+16,17	J11080297-7738425	3720	0.168	-1.86	0.532	-8.99	0.465	-8.932	0.55	-9.01	0.532	-8.99	--	190
ChamI	J11081509-7733531	J11081509-7733531	11:08:15.099	-77:33:53.158	5.3381	0.0352	187.33	3.247	191	[-23.574, 0.530]	FS	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[209.29, ]	[0.43, ]	[209.29, ]	[79.09, ]	78.27	[0.46, ]	[, ]	--	0.33	63.03						FS		J11081509-7733531	190	K0	5110	2.5	1.777	-1.47	1.4	-8.79  1.41	-8.79	...,		Manara+16,17	J11081509-7733531	4870	1.776	-1.47	nan	nan	1.5149	-8.778	1.43	-8.75	1.43	-8.75	--	190
ChamI	J11081850-7730408	J11081850-7730408	11:08:18.505	-77:30:40.813	5.3563	0.1419	186.70	1.061	186.70	[-25.065, 1.025]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.26, ]	[0.16, ]	[<0.48, ]	[<0.17, ]	<0.17	[, ]	[, ]	--	--	#VALUE!						II		J11081850-7730408	185.65	M6.5	2935	0	0.013	-5.04	0.07	-11.63	nan	nan	...,LOWACC,	Manara+16,17	J11081850-7730408	2815	0.013	-5.035	0.045	-11.4	nan	nan	nan	nan	0.045	-11.4	<	186.7
ChamI	J11082238-7730277	J11082238-7730277	11:08:22.381	-77:30:27.713	5.2601	0.0673	190.11	1.046	190.11	[-22.816, 0.286]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.23, ]	[0.16, ]	[<0.48, ]	[<0.18, ]	<0.18	[, ]	[, ]	--	--	#VALUE!						II		J11082238-7730277	193.28	M5.5	3060	1.3	0.044	-3.22	0.13	-9.86	0.12	-9.82	...,	Manara+16,17	J11082238-7730277	2920	0.042	-3.234	0.077	-9.619	0.1	-9.727	0.09	-9.68	0.077	-9.619	--	190.11
ChamI	J11082570-7716396	J11082570-7716396	11:08:25.705	-77:16:39.619	--	--	--	--	191	[, ]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.23, ]	[0.15, ]	[<0.45, ]	[<0.17, ]	<0.17	[, ]	[, ]	--	--	#VALUE!						II		J11082570-7716396	--	--	--	--	--	--	--	--	--	--		--	J11082570-7716396	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
ChamI	J11082650-7715550	J11082650-7715550	11:08:26.506	-77:15:55.098	5.1079	0.1207	195.78	1.003	195.78	[-22.186, -0.459]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[-0.24, ]	[0.16, ]	[<0.48, ]	[<0.19, ]	<0.19	[, ]	[, ]	--	--	#VALUE!						II		J11082650-7715550	200	M5.5	3060	2.5	0.022	-4.16	0.11	-10.89	0.11	-10.87	...,MAN,	Manara+16,17	J11082650-7715550	2920	0.021	-4.178	0.07	-10.67	nan	nan	0.09	-10.78	0.07	-10.67	--	195.78
ChamI	J11083905-7716042	J11083905-7716042	11:08:39.051	-77:16:04.242	5.2687	0.0228	189.80	1.250	189.80	[-22.508, 0.907]	II/T	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[14.11, ]	[0.79, ]	[14.11, ]	[5.27, ]	5.27	[, ]	[, ]	<	0.09	17.082						II/T		J11083905-7716042	188.36	K7	4060	2.9	0.457	-1.49	0.78	-8.64	0.79	-8.65	...,TD,	Manara+16,17	J11083905-7716042	4020	0.464	-1.483	0.723	-8.595	0.7549	-8.613	0.71	-8.59	0.71	-8.59	--	189.8
ChamI	J11083952-7734166	J11083952-7734166	11:08:39.523	-77:34:16.669	5.3366	0.0670	187.39	1.296	187.39	[-23.249, 0.592]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.02, ]	[0.16, ]	[<0.48, ]	[<0.17, ]	<0.17	[, ]	[, ]	--	--	#VALUE!						II		J11083952-7734166	179.32	M6.5	2935	0.1	0.088	-3.76	0.12	-10.17	0.11	-10.12	...,	Manara+16,17	J11083952-7734166	2815	0.096	-3.721	nan	nan	0.1	-10	nan	nan	0.1	-10	--	187.39
ChamI	J11085090-7625135	J11085090-7625135	11:08:50.908	-76:25:13.588	5.2017	0.0416	192.24	1.048	192.24	[-22.020, -0.158]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[-0.04, ]	[0.16, ]	[<0.48, ]	[<0.18, ]	<0.18	[, ]	[, ]	--	--	#VALUE!						II		J11085090-7625135	192.77	M5.5	3060	0.8	0.044	-3.89	0.13	-10.53	0.12	-10.49	...,	Manara+16,17	J11085090-7625135	2920	0.043	-3.892	0.078	-10.27	0.1	-10.38	0.09	-10.33	0.078	-10.27	--	192.24
ChamI	J11085367-7521359	J11085367-7521359	11:08:53.679	-75:21:35.946	5.2490	0.0150	190.51	1.399	190.51	[-22.533, 0.549]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[24.60, ]	[1.37, ]	[24.60, ]	[9.25, ]	9.25	[0.30, ]	[, ]	--	0.15	28.5765						II		J11085367-7521359	188.27	M1	3705	1.5	0.263	-0.92	0.49	-7.91	0.46	-7.88	...,	Manara+16,17	J11085367-7521359	3720	0.269	-0.909	0.497	-7.909	0.4699	-7.885	0.5	-7.91	0.497	-7.909	--	190.51
ChamI	J11085464-7702129	J11085464-7702129	11:08:54.642	-77:02:12.962	5.3575	0.0328	186.65	1.893	191	[-23.557, 1.003]	II	1	[ALMA, ]	[340, ]	[0.882, ]	[1.1x0.7, ]	[0.2, ]	[Long+2018, ]	[4.03, ]	[0.16, ]	[4.03, ]	[1.50, ]	1.49	[, ]	[, ]	<	0.13	24.83						II		J11085464-7702129	186.01	M0.5	3780	1.9	0.176	-1.89	0.6	-9.07	0.51	-9.01	...,	Manara+16,17	J11085464-7702129	3810	0.183	-1.871	0.61	-9.064	0.5525	-9.021	0.64	-9.09	0.61	-9.064	--	190
ChamI	J11085497-7632410	J11085497-7632410	11:08:54.971	-76:32:41.086	5.1702	0.0689	193.42	0.966	193.42	[-22.325, -0.991]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.46, ]	[0.16, ]	[<0.48, ]	[<0.19, ]	<0.19	[, ]	[, ]	--	--	#VALUE!						II		J11085497-7632410	194.65	M5.5	3060	1.8	0.04	-3.78	0.13	-10.43	0.12	-10.4	...,MAN,	Manara+16,17	J11085497-7632410	2920	0.039	-3.785	0.077	-10.18	0.1	-10.29	0.09	-10.25	0.077	-10.18	--	193.42
ChamI	J11091812-7630292	J11091812-7630292	11:09:18.129	-76:30:29.250	5.4454	0.0624	183.64	1.244	183.64	[-21.817, -0.675]	II	1	[ALMA, ]	[340, ]	[0.882, ]	[1.1x0.7, ]	[0.2, ]	[Long+2018, ]	[2.78, ]	[0.16, ]	[2.78, ]	[0.96, ]	0.96	[, ]	[, ]	--	--	#VALUE!						II		J11091812-7630292	187.63	M0	3850	5	0.344	-1.77	0.6	-8.83	0.57	-8.81	...,MAN,	Manara+16,17	J11091812-7630292	3900	0.329	-1.788	0.653	-8.904	0.64	-8.895	0.65	-8.9	0.653	-8.904	--	183.64
ChamI	J11092266-7634320	J11092266-7634320	11:09:22.669	-76:34:32.023	5.1789	0.1593	193.09	1.110	193.09	[-22.296, 0.034]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[3.85, ]	[0.78, ]	[3.85, ]	[1.49, ]	1.49	[, ]	[, ]	--	--	#VALUE!						II		J11092266-7634320	203.25	M1	3705	8	0.121	-1.99	0.56	-9.21	0.44	-9.11	...,MAN,	Manara+16,17	J11092266-7634320	3720	0.109	-2.034	0.583	-9.299	0.4525	-9.189	0.58	-9.3	0.583	-9.299	--	193.09
ChamI	J11092379-7623207	J11092379-7623207	11:09:23.790	-76:23:20.756	5.2322	0.0154	191.12	1.571	191.12	[-21.599, -0.339]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[123.11, ]	[0.57, ]	[123.11, ]	[46.58, ]	46.58	[0.26, ]	[, ]	--	0.17	32.4904						II		J11092379-7623207	192.3	M0.5	3780	1.2	0.794	-0.32	0.48	-7.08	0.51	-7.11	...,	Manara+16,17	J11092379-7623207	3810	0.784	-0.325	0.496	-7.113	0.53	-7.141	0.46	-7.08	0.496	-7.113	--	191.12
ChamI	J11094260-7725578	J11094260-7725578	11:09:42.603	-77:25:57.860	5.1683	0.1087	193.49	1.133	193.49	[-23.255, 0.278]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.37, ]	[0.16, ]	[<0.48, ]	[<0.19, ]	<0.19	[, ]	[, ]	--	--	#VALUE!						II		J11094260-7725578	--	--	--	--	--	--	--	--	--	--		--	J11094260-7725578	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
ChamI	J11094621-7634463	J11094621-7634463	11:09:46.211	-76:34:46.387	5.0944	0.0402	196.29	1.079	196.29	[-21.214, -0.929]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[4.73, ]	[0.79, ]	[4.73, ]	[1.89, ]	1.89	[, ]	[, ]	<	0.14	27.4806						II		J11094621-7634463	195.04	M3	3415	2.1	0.089	-2.26	0.33	-9.24	0.28	-9.17	...,	Manara+16,17	J11094621-7634463	3410	0.09	-2.254	0.328	-9.235	0.2775	-9.163	0.31	-9.21	0.328	-9.235	--	196.29
ChamI	J11094742-7726290	J11094742-7726290	11:09:47.424	-77:26:29.062	5.2241	0.0856	191.42	0.924	191.42	[-22.390, 0.511]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[147.85, ]	[0.86, ]	[147.85, ]	[56.12, ]	56.12	[0.75, ]	[, ]	--	0.53	101.4526						II		J11094742-7726290	192.96	M1	3705	5	0.145	-1.77	0.53	-8.93	0.46	-8.86	...,MAN,	Manara+16,17	J11094742-7726290	3720	0.142	-1.776	0.557	-8.964	0.4699	-8.89	0.57	-8.97	0.557	-8.964	--	191.42
ChamI	J11095215-7639128	J11095215-7639128	11:09:52.156	-76:39:12.805	3.9844	0.1721	250.98	1.254	250.98	[-21.592, -0.683]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.37, ]	[0.16, ]	[<0.48, ]	[<0.31, ]	<0.31	[, ]	[, ]	--	--	#VALUE!						II		J11095215-7639128	240.14	M6.5	2940	2.5	0.063	-3.85	0.1	-10.25	0.1	-10.26	...,	Manara+16,17	J11095215-7639128	2815	0.068	-3.811	0.086	-10.1	nan	nan	nan	nan	0.086	-10.1	--	190
ChamI	J11095336-7728365	J11095336-7728365	11:09:53.370	-77:28:36.559	5.3871	0.3648	185.63	1.274	185.63	[-22.579, 0.516]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.29, ]	[0.16, ]	[<0.48, ]	[<0.17, ]	<0.17	[, ]	[, ]	--	--	#VALUE!						II		J11095336-7728365	186.29	M5.5	3060	5.2	0.019	-3.52	0.11	-10.27	0.1	-10.23	...,MAN,	Manara+16,17	J11095336-7728365	2920	0.018	-3.523	0.068	-10.02	nan	nan	0.09	-10.15	0.068	-10.02	--	185.63
ChamI	J11095340-7634255	J11095340-7634255	11:09:53.405	-76:34:25.511	5.1929	0.1038	192.57	6.127	191	[-26.840, 2.146]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[76.10, ]	[1.83, ]	[76.10, ]	[28.76, ]	28.46	[0.56, ]	[, ]	--	0.36	68.76						II		J11095340-7634255	201.96	K7	4060	4.3	0.765	0.26	0.72	-6.75	0.75	-6.77	...,	Manara+16,17	J11095340-7634255	4020	0.677	0.2069	0.691	-6.803	0.72	-6.82	0.65	-6.77	0.65	-6.77	--	190
ChamI	J11095407-7629253	J11095407-7629253	11:09:54.076	-76:29:25.310	5.0099	0.1669	199.60	9.312	191	[-22.540, -0.820]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[30.49, ]	[1.24, ]	[30.49, ]	[11.52, ]	11.4	[0.13, ]	[, ]	--	--	#VALUE!						II		J11095407-7629253	212.11	M1	3705	1.8	0.193	-1.86	0.51	-8.94	0.45	-8.88	...,	Manara+16,17	J11095407-7629253	3720	0.154	-1.955	0.544	-9.115	0.4625	-9.044	0.57	-9.13	0.544	-9.115	--	190
ChamI	J11095873-7737088	J11095873-7737088	11:09:58.738	-77:37:08.879	5.2479	0.0576	190.55	7.188	191	[-22.717, 1.437]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[20.81, ]	[0.57, ]	[20.81, ]	[7.86, ]	7.78	[, ]	[, ]	--	--	#VALUE!						II		J11095873-7737088	191.29	M0.5	3780	3	0.872	0.04	0.47	-6.7	0.5	-6.73	...,	Manara+16,17	J11095873-7737088	3810	0.86	0.0341	0.491	-6.729	0.5375	-6.768	0.45	-6.69	0.491	-6.729	--	190
ChamI	J11100010-7634578	J11100010-7634578	11:10:00.108	-76:34:57.893	5.2965	0.0314	188.80	2.798	191	[-22.507, -0.812]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[1363.47, ]	[0.82, ]	[1363.47, ]	[515.28, ]	509.9	[0.56, ]	[, ]	--	--	#VALUE!						II		J11100010-7634578	192.08	K0	5110	4.1	3.862	0.78	nan	nan	1.9	-6.5	...,	Manara+16,17	J11100010-7634578	4870	3.778	0.7705	nan	nan	1.9299	-6.478	1.5	-6.37	1.5	-6.37	--	190
ChamI	J11100369-7633291	J11100369-7633291	11:10:03.693	-76:33:29.178	5.1085	0.0482	195.75	1.040	195.75	[-21.610, -1.608]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[9.83, ]	[0.79, ]	[9.83, ]	[3.90, ]	3.9	[, ]	[, ]	<	0.15	29.3625						II		J11100369-7633291	201.01	M0	3850	5	0.363	-2.25	0.59	-9.29	0.58	-9.28	...,MAN,	Manara+16,17	J11100369-7633291	3900	0.344	-2.273	0.646	-9.374	0.6349	-9.366	0.64	-9.37	0.646	-9.374	--	195.75
ChamI	J11100469-7635452	J11100469-7635452	11:10:04.693	-76:35:45.272	5.1797	0.0117	193.06	1.089	193.06	[-20.672, -1.147]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[7.73, ]	[0.78, ]	[7.73, ]	[2.98, ]	2.98	[, ]	[, ]	--	0.18	34.7508						II		J11100469-7635452	195	K7	4060	1.1	0.505	-2.42	0.76	-9.54  0.82	-9.57	...,		Manara+16,17	J11100469-7635452	4020	0.495	-2.428	0.715	-9.522	0.735	-9.533	0.7	-9.51	0.7	-9.51	--	193.06
ChamI	J11100704-7629376	J11100704-7629376	11:10:07.045	-76:29:37.698	5.7305	0.2207	174.50	21.213	191	[-23.039, -1.287]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[1.0, ]	[Pascucci+2016, ]	[7.17, ]	[0.78, ]	[7.17, ]	[2.71, ]	2.68	[, ]	[, ]	--	--	#VALUE!						II		J11100704-7629376	179.61	K7	4060	1.2	0.668	-1.49	0.72	-8.53	0.77	-8.56	...,	Manara+16,17	J11100704-7629376	4020	0.747	-1.441	0.683	-8.425	0.72	-8.447	0.63	-8.39	0.63	-8.39	--	190
ChamI	J11100785-7727480	J11100785-7727480	11:10:07.851	-77:27:48.082	4.8795	0.2290	204.94	1.134	204.94	[-22.567, -0.418]	II	1	[ALMA, ]	[338, ]	[0.887, ]	[0.7x0.5, ]	[0.2, ]	[Pascucci+2016, ]	[0.49, ]	[0.16, ]	[0.49, ]	[0.21, ]	0.21	[, ]	[, ]	--	--	#VALUE!						II		J11100785-7727480	199.93	M5.5	3060	6	0.056	-4.09	0.14	-10.7	0.12	-10.65	...,MAN,	Manara+16,17	J11100785-7727480	2920	0.058	-4.068	0.091	-10.45	0.1	-10.49	0.09	-10.45	0.091	-10.45	--	204.94
